本出版物,阐述,对抗全过程中在电磁频谱以及通过电磁频谱展开的军事行动,553,554
频谱管理行动,提供,支持,1381,588
整合,_,和,811,414
规划,_,和,808,414
同步,_,和,814,414
副指挥官,负责,信息,1383,1000
海军陆战队总部负责信息的副指挥官,是,海军陆战队电磁频谱作战的倡导者,1384,1385
发展,_,与,1386,415
整合,_,与,811,415
合作方,_,和,1248,416
部队,_,和,559,416
机构,_,和,652,416
与,负责,和,415,416
整合,_,与,811,417
发展,_,与,1386,417
电子战,_,和,1387,418
作战,_,和,868,418
与,确定,和,417,418
发展,_,与,1386,419
整合,_,与,811,419
排序,_,和,812,420
整合,_,和,811,420
与,进行,和,419,420
部门,_,和,1388,421
政策,_,和,663,421
计划,_,和,1295,421
作战,_,和,868,421
指挥官,_,和,714,421
海军陆战队总部的主要利益相关方,包括,和,1389,421
作战,_,和,868,422
计划,_,和,1295,422
政策,_,和,663,422
指挥官,_,和,714,423
部门,_,和,1388,423
和,负责,和,423,422
电磁频谱作战,提供,便利,660,1390
电磁频谱作战,拒止,敌方对电磁频谱的接入,660,1391
这,有助于,海军陆战队空地特遣部队控制作战进程，以支持指挥官的目标,672,1392
海军陆战队空地特遣部队,控制,作战进程,1393,1394
海军陆战队空地特遣部队,支持,指挥官的目标,1393,982
协同的海军陆战队空地特遣部队电磁频谱作战,瞄准,敌方,1395,637
中立方,_,和,639,424
己方,_,和,638,424
协同的海军陆战队空地特遣部队电磁频谱作战,减少,和,1395,424
海军陆战队的电磁频谱作战方法,反映,五要素的设计,1396,1397
海军陆战队,处理,电磁频谱作战,1398,660
海军陆战队,保持,电磁频谱优势,1398,596
这一设计,提供,认知基础,1399,1400
海军陆战队空地特遣部队,获得,电磁频谱优势,1393,596
海军陆战队空地特遣部队,保持,电磁频谱优势,1393,596
小组,_,和,1282,425
评估,_,和,978,426
规划,_,和,808,426
实施,_,和,840,426
和,进行,和,425,426
小组,_,和,1282,427
和,加快,作战进度,427,1401
小组,_,和,1282,428
和,取得,军事优势,428,1402
电磁频谱作战小组的架构,源自,传统的电磁战协调小组,1403,1404
外部,_,和,1405,429
规划,_,和,808,429
协调,_,和,800,429
请求,_,和,1293,429
内,_,和,1406,429
外部,_,和,1405,430
内,_,和,1406,430
内,_,和,1406,431
外部,_,和,1405,431
外部,_,和,1405,432
内,_,和,1406,432
和,进行,赛博空战作战,432,1407
电磁频谱作战小组,是,施加潜在影响的主要手段,1408,1409
指挥官,规划,作战行动,714,771
指挥官,协调,作战行动,714,771
指挥官,实施,作战行动,714,771
指挥官,消除,冲突,714,813
电磁频谱作战小组,是,对电磁作战环境施加潜在影响的主要手段,1408,1410
电磁频谱作战小组,使用,电磁频谱协调文件,1408,1411
支持,_,和,588,433
电磁频谱作战小组,定义,和,1408,433
电磁频谱作战小组,确定,具体的控制措施,1408,1412
电磁频谱作战小组,同步,电磁频谱中和通过电磁频谱发生的行动,1408,1413
系统,_,与,621,434
指挥,_,与,783,434
通信,_,与,668,434
控制,_,与,785,434
计算机,_,与,1414,434
制定,_,和,1167,435
监督,_,和,1415,435
作战,_,和,868,435
需求,_,和,579,435
使用,_,和,787,435
与,负责,和,434,435
需求,_,和,579,436
使用,_,和,787,436
作战,_,和,868,436
计算机,_,与,1414,437
控制,_,与,785,437
通信,_,与,668,437
指挥,_,与,783,437
与,制定,海军陆战队政策,437,1416
计算机,_,与,1414,438
控制,_,与,785,438
指挥,_,与,783,438
通信,_,与,668,438
监督,_,和,1415,439
指导,_,和,979,439
程序,_,和,944,439
与,提供,和,438,439
海军陆战队,派出,海军陆战队代表(在政策层面),1398,1417
行政,_,和,1372,440
技术,_,和,665,440
作战,_,和,868,440
海军陆战队,支持,海军陆战队的电磁频谱作战需求,1398,1418
海军,_,和,1419,441
陆战队,_,和,1420,441
和,是,海军主要的地区办公室,441,1421
非战术,_,和,1422,442
非通信,_,和,1423,442
战术,_,和,582,442
通信,_,和,668,442
客户,_,和,1424,443
部队,_,和,559,443
设施,_,和,786,443
和,需要,和,443,442
非战术,_,和,1422,444
战术,_,和,582,444
非通信,_,和,1423,444
通信,_,和,668,444
海军,_,和,1419,445
陆战队,_,和,1420,445
帮助,_,和,1425,446
支援,_,和,794,446
和,提供,和,445,446
电磁频谱支持,遵循,作战司令部的指导,1426,1427
海军陆战队,评估,电磁频谱作战的多种参谋组织选项,1398,1428
电磁战管理活动,协调,冲突,1429,813
电磁战管理活动,消除,冲突,1429,813
美国海军陆战队空地特遣部队频谱管理的主要机制,是,军种级频率限制清单,1430,1431
频率,_,和,606,447
频率,_,和,606,448
电磁机动战,是,海军在电磁频谱中获得决定性军事优势的作战手段,1432,1433
海军,获得,决定性军事优势,1419,1434
电磁机动战,是,支持联合电磁频谱作战的基本概念,1432,1435
活动,相关,与电磁频谱,750,1436
评估,_,和,978,449
环境,_,和,562,449
监控,_,和,980,449
感知,_,和,669,449
活动,_,和,750,449
和,提供,战略优势,449,1437
监控,_,和,980,450
评估,_,和,978,450
环境,_,和,562,450
感知,_,和,669,450
活动,_,和,750,450
和,使,海军,450,1419
海军,具有,行动自由,1419,1148
指挥官,_,或,714,451
海上作战中心,是,或,1438,451
指挥官,_,或,714,452
组织机制,支持,或,1439,452
指导,_,和,979,453
执行,_,和,851,453
海上作战中心,是,和,1438,453
指导,_,和,979,454
执行,_,和,851,454
桥梁,连接,和,1440,454
工作组,_,和,1441,455
小组,_,和,1282,455
工作组,_,和,1441,456
小组,_,和,1282,456
和,进行,指导,456,979
小组,_,和,1282,457
工作组,_,和,1441,457
工作组,_,和,1441,458
小组,_,和,1282,458
工作组,_,和,1441,459
小组,_,和,1282,459
行动,相关,与电磁战斗管理,563,1442
管理,_,和,597,460
控制,_,和,785,460
指挥,_,和,783,460
海上作战中心,执行,和,1438,460
指挥官,_,或,714,461
海上作战中心,使,或,1438,461
指挥官,_,或,714,462
指挥官,_,或,714,463
指挥官,_,或,714,464
指挥官,_,或,714,465
海上作战中心,提出,海上组成部队的需求,1438,1443
海上作战中心,协调,所有的海上变更/输入,1438,1444
电磁频谱战备,是,海军的一个关键事项,1445,1446
系统,_,/,621,466
平台,_,/,618,466
系统,_,/,621,467
平台,_,/,618,467
/,执行,其设计功能,467,1447
资产,_,和,873,468
资源,_,和,872,468
资产,_,和,873,469
资源,_,和,872,469
资源,_,和,872,470
资产,_,和,873,470
设在空中作战中心的非动能作战协调小组,实施,电磁频谱作战,1448,660
非动能作战协调小组,提供,电磁频谱能力整合,1449,1450
空军,进行,行动,1451,563
攻击,_,和,598,471
防护,_,和,599,471
管理,_,和,597,471
利用,_,和,600,471
部队,_,和,559,472
链,_,和,1452,472
非动能作战协调小组,负责,和,1449,472
空中组成部队指挥官,传达,实现电磁频谱优势的计划,1453,1454
空中组成部队指挥官,实现,电磁频谱优势,1453,596
非动能作战协调小组,领导,空军电磁战斗管理系统的工作,1449,1455
非动能作战协调小组,进行,优先级排序,1449,1456
非动能作战协调小组,发布,频率授权,1449,1457
非动能作战协调小组,提供,指导,1449,979
非动能作战协调小组,进行,联系,1449,1458
协调,_,和,800,473
规划,_,和,808,473
人员,参与,和,784,473
协调,_,以及,800,474
规划,_,以及,808,474
监测,_,和,1459,475
提供,_,和,855,475
评估,_,和,978,475
海岸警卫队的联合电磁频谱作战行动,包括,和,1460,475
海岸警卫队,实施,联合电磁频谱作战,1461,587
海岸警卫队,实施,联合电磁频谱作战,1461,587
海岸警卫队,进行,协调,1461,800
认证,_,和,1462,476
政策,_,和,663,476
海岸警卫队通信政策部(CG_672),是,和,1463,476
事宜,_,和,1464,477
政策,_,和,663,477
办公室,负责,和,1284,477
信息官,_,和,1465,478
指挥官,_,和,714,478
系统,_,和,621,478
技术,_,和,665,478
控制,_,和,785,478
指挥,_,和,783,478
通信,_,和,668,478
通信政策部,隶属,和,1466,478
技术,_,和,665,479
通信,_,和,668,479
系统,_,和,621,479
控制,_,和,785,479
指挥,_,和,783,479
助理指挥官,负责,和,1467,479
分部,_,和,1468,480
系统,_,和,621,480
指挥,_,和,783,480
部门,_,和,1388,480
控制,_,和,785,480
通信,_,和,668,480
和,管理,射频频谱,480,1469
控制,_,和,785,481
指挥,_,和,783,481
部门,_,和,1388,481
分部,_,和,1468,481
通信,_,和,668,481
系统,_,和,621,481
和,代表,海岸警卫队,481,1461
军事,_,和,679,482
民事,_,和,686,482
监管,_,和,1470,482
和,协调,频谱管理,482,1471
分部,_,/,1468,483
部门,_,/,1388,483
部门,_,/,1388,484
分部,_,/,1468,484
/,指导,海岸警卫队范围内的频谱管理活动,484,1472
系统,_,和,621,485
控制,_,和,785,485
分部,_,和,1468,485
指挥,_,和,783,485
中心,_,和,1473,485
通信,_,和,668,485
部门,_,和,1388,485
和,支持,美国海岸警卫队的任务,485,1474
系统,_,和,621,486
通信,_,和,668,486
中心,_,和,1473,486
部门,_,和,1388,486
分部,_,和,1468,486
控制,_,和,785,486
指挥,_,和,783,486
办公室,_,和,1284,487
指挥官,_,和,714,487
管理,_,和,597,487
顾问,_,和,1475,487
控制,_,和,785,487
系统,_,和,621,487
通信,_,和,668,487
政策部,_,和,1476,487
技术,_,和,665,487
指挥,_,和,783,487
监管,_,和,1470,487
信息官,_,和,1465,487
和,担任,和,486,487
系统,_,和,621,488
通信,_,和,668,488
控制,_,和,785,488
技术,_,和,665,488
指挥,_,和,783,488
助理指挥官,负责,和,1467,488
海岸警卫队区域指挥部,配置,主要频谱管理员,1477,1478
主要频谱管理员,担任,主要的野战办事处代表,1478,1479
情况,_,和,1480,489
设施,_,和,786,489
分队,_,和,1346,489
海岸警卫队用户,包括,和,1481,489
主要频谱管理员,提供,频谱管理支援,1478,1482
警卫队,_,和,1483,490
力量,_,和,623,490
国民警卫队,提供,和,1484,490
警卫队,_,和,1483,491
和,提供,协助,491,1485
国民警卫队的部队,执行,海外现役任务,1486,1487
国民警卫队,建立,可互操作的通信,1484,1488
国民警卫队,处于,《美国法典》第10卷状态,1484,1489
处于《美国法典》第10卷状态的国民警卫队,列为,联合电磁频谱作战,1490,587
状态,_,或,1261,492
国民警卫队,接受,州长的指挥控制,1484,1491
应急部队,处于,《美国法典》第10卷状态,1492,1489
联合部队指挥官,进行,协调,1094,800
联邦,_,和,1493,493
州,_,和,1494,493
联合部队指挥官,实现,和,1094,493
控制,_,和,785,494
计算机,_,和,1414,494
指挥,_,和,783,494
通信,_,和,668,494
和,是,国民警卫局内的指定办公室,494,1495
计算机,_,和,1414,495
控制,_,和,785,495
通信,_,和,668,495
指挥,_,和,783,495
实施,_,和,840,496
规划,_,和,808,496
和,负责,和,495,496
指挥,_,和,783,497
控制,_,和,785,497
通信,_,和,668,497
计算机,_,和,1414,497
和,提供,支持,497,588
指挥,_,和,783,498
控制,_,和,785,498
计算机,_,和,1414,498
通信,_,和,668,498
和,进行,沟通,498,1496
状态,_,和,1261,499
控制,_,和,785,500
计算机,_,和,1414,500
通信,_,和,668,500
指挥,_,和,783,500
和,提供,频谱支持,500,1497
计算机,_,和,1414,501
通信,_,和,668,501
控制,_,和,785,501
指挥,_,和,783,501
和,促进,这种协调,501,1498
计算机,_,和,1414,502
控制,_,和,785,502
指挥,_,和,783,502
通信,_,和,668,502
控制,_,和,785,503
指挥,_,和,783,503
计算机部,_,和,1499,503
通信,_,和,668,503
和,合作,和,502,503
控制,_,和,785,504
计算机,_,和,1414,504
指挥,_,和,783,504
通信,_,和,668,504
和,提供,支持,504,588
通信,_,和,668,505
计算机,_,和,1414,505
指挥,_,和,783,505
控制,_,和,785,505
办公室,_,和,1284,506
司令部,_,和,555,506
和,协调,和,505,506
通信,_,和,668,507
计算机,_,和,1414,507
控制,_,和,785,507
指挥,_,和,783,507
和,提供,《国民警卫队互操作性现场行动指南》,507,1500
州际,_,和,1501,508
区域,_,和,727,508
《国民警卫队互操作性现场行动指南》,提供,指导,1500,979
指挥,_,和,783,509
控制,_,和,785,509
通信,_,和,668,509
计算机,_,和,1414,509
指挥,_,所,783,510
计算机部,_,所,1499,510
通信,_,所,668,510
控制,_,所,785,510
和,加入,所,509,510
上级当局,规定,范围,1502,731
程序,_,和,944,511
政策,_,和,663,511
联合频谱管理分队,制定,和,1503,511
程序,_,和,944,512
政策,_,和,663,512
联合频谱管理分队,实施,和,1503,512
联合频谱管理分队,发布,联合通信_电子操作说明,1503,1504
联合频谱管理分队,提供,更明确的指导,1503,1505
法律,_,和,674,513
程序,_,和,944,513
法规,_,和,675,513
国民警卫队联合部队州总部频谱管理人员,确保,和,1506,513
其,分配,频谱资源,729,1507
法律,_,和,674,514
程序,_,和,944,514
法规,_,和,675,514
其分配的频谱资源,符合,和,1508,514
状态,_,或,1261,515
国民警卫队联合部队州总部频谱管理人员,确保,或,1506,515
状态,_,或,1261,516
人员,_,和,784,517
指挥官,_,和,714,517
中心,_,或,1473,518
军事,_,或,679,518
促进,_,或,1509,518
环境,_,或,562,518
进行,_,或,592,518
行动,_,或,563,518
人员,_,或,784,518
和,意识,或,517,518
环境,_,和,562,519
行动,_,和,563,519
电磁作战环境,无,干扰,634,891
安全局,_,和,1510,520
情报局,_,和,1511,520
机构,_,和,652,520
组织,_,和,1315,520
编录,_,和,1512,521
识别,_,和,760,521
更新,_,和,1223,521
和,寻求,和,520,521
组织,_,和,1315,522
机构,_,和,652,522
情报局,_,和,1511,522
安全局,_,和,1510,522
安全局,_,/,1510,523
安全署,_,/,1513,523
/,围绕,作战,523,868
安全局,_,/,1510,524
安全署,_,/,1513,524
分析,_,和,991,525
交换,_,和,1514,525
/,进行,和,524,525
这些数据库,提供,信号情报支持,1515,1516
航空,_,和,1517,526
航天,_,和,1518,526
中心,_,和,1473,526
参数,_,和,723,527
性能,_,和,1087,527
和,定义,和,526,527
中心,_,和,1473,528
航天,_,和,1518,528
航空,_,和,1517,528
理论,_,和,1519,529
战术,_,和,582,529
和,分析,和,528,529
航天,_,和,1518,530
航空,_,和,1517,530
中心,_,和,1473,530
理论,_,和,1519,531
战术,_,和,582,531
和,提供,和,530,531
国家级的收集工作,提供,关于敌方电磁基础设施的大部分情报,1520,1521
国防情报局国防情报收集协调中心,是,调度国家资产收集情报的协调中心,1522,1523
中心,调度,国家资产,1473,1524
国防情报局国防情报收集协调中心,响应,联合电磁频谱作战的情报需求,1522,1525
联合情报作战中心,做出,响应,1526,1527
需求,需要,国家级资产处理,579,1528
联合情报作战中心,转交,需要国家级资产处理的需求,1526,1529
作战指挥官,确定,程序,844,944
有关战区级情报支持更多的信息,参阅,JP2_0《联合情,1530,1531
联合参谋部情报处,是,向联合电磁频谱作战提供情报支持的主要联络点,1230,1532
联络点,提供,情报支持,1533,1534
联合部队指挥官,决定,建立一支联合特遣部队联合情报支持分队，以扩充下属联合部队联合参谋部的情报处,1094,1535
收集,_,和,1536,532
发布,_,和,989,532
生成,_,和,1537,532
联合情报支持分队,管理,和,1538,532
名,_,或,1539,533
联合参谋部情报处,指派,或,1230,533
名,_,或,1539,534
或,到,联合电磁频谱作战分队,534,845
名,_,或,1539,535
或,进行,联络,535,1540
作战,_,和,868,536
收集,_,和,1536,536
分隔,_,和,1541,536
支持,_,和,588,536
分析,_,和,991,536
这种联络的目的,是,和,1542,536
计划人员,联合,电磁频谱作战,1543,660
联合电磁频谱作战的计划人员,发现,有必要与参谋部情报部门的各种人员合作,1544,1545
多国部队指挥官,指导,多国部队,1546,1547
多国部队,规划,联合电磁频谱作战,1547,587
多国部队,实施,联合电磁频谱作战,1547,587
电磁战协调小组,承担,联合电磁频谱作战分队的部分职责,1548,1549
北约/多国术语,沿用,电磁战协调小组,1550,1548
多国部队指挥官,分配,联合电磁频谱作战资源的管理职责,1546,1551
规划,_,和,808,537
整合,_,和,811,537
多国参谋的作战负责人,承担,和,1552,537
联合电磁频谱作战参谋的主要职责,是,确保多国部队指挥官得到美国联合部队指挥官所期望的联合电磁频谱作战支援,1553,1554
支援,_,所,794,538
作战,_,所,868,538
多国部队指挥官,得到,所,1546,538
美国联合部队指挥官,期望,作战支援,1555,1556
多国部队所有组成部队的指挥官,提供,合格的参谋人员(例如电磁战军官、电磁频谱管理人员、情报人员、战斗损伤评估电子战辅助人员),1557,1558
扩编参谋人员的理由,是,伙伴国的官员通常是多国联合电磁频谱作战计划分队的正式成员，并对指挥链负责,1559,1560
伙伴国的官员,是,多国联合电磁频谱作战计划分队的正式成员,1561,1562
伙伴国的官员,负责,对指挥链,1561,1563
直接编入电磁战协调小组,实施,统一指挥,1564,1305
程序,_,和,944,539
计划,_,和,1295,539
计划,_,和,1295,540
程序,_,和,944,540
和,得到,正确解释,540,1565
职责,对等,与美国军官,556,1566
材料,_,和,1567,541
兼容性,_,和,1058,541
装备,_,和,703,541
设备,_,和,704,541
部门,_,和,1388,542
小组,_,和,1282,542
部门,_,和,1388,543
小组,_,和,1282,543
和,保持,经常联络,543,1568
适当,_,和,1569,544
有效,_,和,1570,544
计划中的电磁战瞄准任务,产生,影响,1571,627
指挥,_,和,783,545
控制,_,和,785,545
跟踪,_,和,1572,546
补救,_,和,1573,546
指南,_,和,809,547
原则,_,和,1574,547
支持,_,和,588,548
进行,_,和,592,548
协调,_,和,800,548
支持,_,和,588,549
协调,_,和,800,549
重,_,和,1575,549
伙伴国,联合,电磁频谱作战军官,1576,1577
伙伴国指挥官,派驻,合格的联合电磁频谱作战人员(例如电磁战军官、电磁频谱管理人员、情报参谋),1578,1579
控制,_,和,785,550
结构,_,和,1580,550
设施,_,和,786,550
组织,_,和,1315,550
情报,_,和,806,550
能力,_,和,747,550
指挥,_,和,783,550
需求,_,和,579,550
信息,适合,他们接收,1000,1581
他们,接收,信息,1582,1000
O_4,_,或,1583,551
级别,_,或,1584,551
O_3,_,或,1585,551
这些要求,意味着,或,1586,551
O_3,_,或,1585,552
O_4,_,或,1583,552
有关官员,达到,或,1587,552
他们,是,从国家级部门中抽调的扩编人员,1582,1588
他们,来自,多国部队,1582,1547
