本出版物,阐述,对抗全过程中在电磁频谱以及通过电磁频谱展开的军事行动,_,_
海军陆战队空地特遣部队,控制,作战进程,_,_
海军陆战队空地特遣部队,支持,指挥官的目标,_,_
协同的海军陆战队空地特遣部队电磁频谱作战,瞄准,敌方,_,_
中立方,_,和,_,424
己方,_,和,_,424
协同的海军陆战队空地特遣部队电磁频谱作战,减少,和,_,424
海军陆战队的电磁频谱作战方法,反映,五要素的设计,_,_
海军陆战队,处理,电磁频谱作战,_,_
海军陆战队,保持,电磁频谱优势,_,_
这一设计,提供,认知基础,_,_
海军陆战队空地特遣部队,获得,电磁频谱优势,_,_
海军陆战队空地特遣部队,保持,电磁频谱优势,_,_
小组,_,和,_,425
评估,_,和,_,426
规划,_,和,_,426
实施,_,和,_,426
和,进行,和,425,426
小组,_,和,_,427
和,加快,作战进度,427,_
小组,_,和,_,428
和,取得,军事优势,428,_
电磁频谱作战小组的架构,源自,传统的电磁战协调小组,_,_
外部,_,和,_,429
规划,_,和,_,429
协调,_,和,_,429
请求,_,和,_,429
内,_,和,_,429
外部,_,和,_,430
内,_,和,_,430
内,_,和,_,431
外部,_,和,_,431
外部,_,和,_,432
内,_,和,_,432
和,进行,赛博空战作战,432,_
电磁频谱作战小组,是,施加潜在影响的主要手段,_,_
指挥官,规划,作战行动,_,_
指挥官,协调,作战行动,_,_
指挥官,实施,作战行动,_,_
指挥官,消除,冲突,_,_
电磁频谱作战小组,是,对电磁作战环境施加潜在影响的主要手段,_,_
电磁频谱作战小组,使用,电磁频谱协调文件,_,_
支持,_,和,_,433
电磁频谱作战小组,定义,和,_,433
电磁频谱作战小组,确定,具体的控制措施,_,_
电磁频谱作战小组,同步,电磁频谱中和通过电磁频谱发生的行动,_,_
系统,_,与,_,434
指挥,_,与,_,434
通信,_,与,_,434
控制,_,与,_,434
计算机,_,与,_,434
制定,_,和,_,435
监督,_,和,_,435
作战,_,和,_,435
需求,_,和,_,435
使用,_,和,_,435
与,负责,和,434,435
需求,_,和,_,436
使用,_,和,_,436
作战,_,和,_,436
计算机,_,与,_,437
控制,_,与,_,437
通信,_,与,_,437
指挥,_,与,_,437
与,制定,海军陆战队政策,437,_
计算机,_,与,_,438
控制,_,与,_,438
指挥,_,与,_,438
通信,_,与,_,438
监督,_,和,_,439
指导,_,和,_,439
程序,_,和,_,439
与,提供,和,438,439
海军陆战队,派出,海军陆战队代表(在政策层面),_,_
行政,_,和,_,440
技术,_,和,_,440
作战,_,和,_,440
海军陆战队,支持,海军陆战队的电磁频谱作战需求,_,_
海军,_,和,_,441
陆战队,_,和,_,441
和,是,海军主要的地区办公室,441,_
非战术,_,和,_,442
非通信,_,和,_,442
战术,_,和,_,442
通信,_,和,_,442
客户,_,和,_,443
部队,_,和,_,443
设施,_,和,_,443
和,需要,和,443,442
非战术,_,和,_,444
战术,_,和,_,444
非通信,_,和,_,444
通信,_,和,_,444
海军,_,和,_,445
陆战队,_,和,_,445
帮助,_,和,_,446
支援,_,和,_,446
和,提供,和,445,446
电磁频谱支持,遵循,作战司令部的指导,_,_
海军陆战队,评估,电磁频谱作战的多种参谋组织选项,_,_
电磁战管理活动,协调,冲突,_,_
电磁战管理活动,消除,冲突,_,_
美国海军陆战队空地特遣部队频谱管理的主要机制,是,军种级频率限制清单,_,_
频率,_,和,_,447
频率,_,和,_,448
电磁机动战,是,海军在电磁频谱中获得决定性军事优势的作战手段,_,_
海军,获得,决定性军事优势,_,_
电磁机动战,是,支持联合电磁频谱作战的基本概念,_,_
活动,相关,与电磁频谱,_,_
评估,_,和,_,449
环境,_,和,_,449
监控,_,和,_,449
感知,_,和,_,449
活动,_,和,_,449
和,提供,战略优势,449,_
监控,_,和,_,450
评估,_,和,_,450
环境,_,和,_,450
感知,_,和,_,450
活动,_,和,_,450
和,使,海军,450,_
海军,具有,行动自由,_,_
指挥官,_,或,_,451
海上作战中心,是,或,_,451
指挥官,_,或,_,452
组织机制,支持,或,_,452
指导,_,和,_,453
执行,_,和,_,453
海上作战中心,是,和,_,453
指导,_,和,_,454
执行,_,和,_,454
桥梁,连接,和,_,454
工作组,_,和,_,455
小组,_,和,_,455
工作组,_,和,_,456
小组,_,和,_,456
和,进行,指导,456,_
小组,_,和,_,457
工作组,_,和,_,457
工作组,_,和,_,458
小组,_,和,_,458
工作组,_,和,_,459
小组,_,和,_,459
行动,相关,与电磁战斗管理,_,_
管理,_,和,_,460
控制,_,和,_,460
指挥,_,和,_,460
海上作战中心,执行,和,_,460
指挥官,_,或,_,461
海上作战中心,使,或,_,461
指挥官,_,或,_,462
指挥官,_,或,_,463
指挥官,_,或,_,464
指挥官,_,或,_,465
海上作战中心,提出,海上组成部队的需求,_,_
海上作战中心,协调,所有的海上变更/输入,_,_
电磁频谱战备,是,海军的一个关键事项,_,_
系统,_,/,_,466
平台,_,/,_,466
系统,_,/,_,467
平台,_,/,_,467
/,执行,其设计功能,467,_
资产,_,和,_,468
资源,_,和,_,468
资产,_,和,_,469
资源,_,和,_,469
资源,_,和,_,470
资产,_,和,_,470
设在空中作战中心的非动能作战协调小组,实施,电磁频谱作战,_,_
非动能作战协调小组,提供,电磁频谱能力整合,_,_
空军,进行,行动,_,_
攻击,_,和,_,471
防护,_,和,_,471
管理,_,和,_,471
利用,_,和,_,471
部队,_,和,_,472
链,_,和,_,472
非动能作战协调小组,负责,和,_,472
空中组成部队指挥官,传达,实现电磁频谱优势的计划,_,_
空中组成部队指挥官,实现,电磁频谱优势,_,_
非动能作战协调小组,领导,空军电磁战斗管理系统的工作,_,_
非动能作战协调小组,进行,优先级排序,_,_
非动能作战协调小组,发布,频率授权,_,_
非动能作战协调小组,提供,指导,_,_
非动能作战协调小组,进行,联系,_,_
协调,_,和,_,473
规划,_,和,_,473
人员,参与,和,_,473
协调,_,以及,_,474
规划,_,以及,_,474
监测,_,和,_,475
提供,_,和,_,475
评估,_,和,_,475
海岸警卫队的联合电磁频谱作战行动,包括,和,_,475
海岸警卫队,实施,联合电磁频谱作战,_,_
海岸警卫队,实施,联合电磁频谱作战,_,_
海岸警卫队,进行,协调,_,_
认证,_,和,_,476
政策,_,和,_,476
海岸警卫队通信政策部(CG_672),是,和,_,476
事宜,_,和,_,477
政策,_,和,_,477
办公室,负责,和,_,477
信息官,_,和,_,478
指挥官,_,和,_,478
系统,_,和,_,478
技术,_,和,_,478
控制,_,和,_,478
指挥,_,和,_,478
通信,_,和,_,478
通信政策部,隶属,和,_,478
技术,_,和,_,479
通信,_,和,_,479
系统,_,和,_,479
控制,_,和,_,479
指挥,_,和,_,479
助理指挥官,负责,和,_,479
分部,_,和,_,480
系统,_,和,_,480
指挥,_,和,_,480
部门,_,和,_,480
控制,_,和,_,480
通信,_,和,_,480
和,管理,射频频谱,480,_
控制,_,和,_,481
指挥,_,和,_,481
部门,_,和,_,481
分部,_,和,_,481
通信,_,和,_,481
系统,_,和,_,481
和,代表,海岸警卫队,481,_
军事,_,和,_,482
民事,_,和,_,482
监管,_,和,_,482
和,协调,频谱管理,482,_
分部,_,/,_,483
部门,_,/,_,483
部门,_,/,_,484
分部,_,/,_,484
/,指导,海岸警卫队范围内的频谱管理活动,484,_
系统,_,和,_,485
控制,_,和,_,485
分部,_,和,_,485
指挥,_,和,_,485
中心,_,和,_,485
通信,_,和,_,485
部门,_,和,_,485
和,支持,美国海岸警卫队的任务,485,_
系统,_,和,_,486
通信,_,和,_,486
中心,_,和,_,486
部门,_,和,_,486
分部,_,和,_,486
控制,_,和,_,486
指挥,_,和,_,486
办公室,_,和,_,487
指挥官,_,和,_,487
管理,_,和,_,487
顾问,_,和,_,487
控制,_,和,_,487
系统,_,和,_,487
通信,_,和,_,487
政策部,_,和,_,487
技术,_,和,_,487
指挥,_,和,_,487
监管,_,和,_,487
信息官,_,和,_,487
和,担任,和,486,487
系统,_,和,_,488
通信,_,和,_,488
控制,_,和,_,488
技术,_,和,_,488
指挥,_,和,_,488
助理指挥官,负责,和,_,488
海岸警卫队区域指挥部,配置,主要频谱管理员,_,_
主要频谱管理员,担任,主要的野战办事处代表,_,_
情况,_,和,_,489
设施,_,和,_,489
分队,_,和,_,489
海岸警卫队用户,包括,和,_,489
主要频谱管理员,提供,频谱管理支援,_,_
警卫队,_,和,_,490
力量,_,和,_,490
国民警卫队,提供,和,_,490
警卫队,_,和,_,491
和,提供,协助,491,_
国民警卫队的部队,执行,海外现役任务,_,_
国民警卫队,建立,可互操作的通信,_,_
国民警卫队,处于,《美国法典》第10卷状态,_,_
处于《美国法典》第10卷状态的国民警卫队,列为,联合电磁频谱作战,_,_
状态,_,或,_,492
国民警卫队,接受,州长的指挥控制,_,_
应急部队,处于,《美国法典》第10卷状态,_,_
联合部队指挥官,进行,协调,_,_
联邦,_,和,_,493
州,_,和,_,493
联合部队指挥官,实现,和,_,493
控制,_,和,_,494
计算机,_,和,_,494
指挥,_,和,_,494
通信,_,和,_,494
和,是,国民警卫局内的指定办公室,494,_
计算机,_,和,_,495
控制,_,和,_,495
通信,_,和,_,495
指挥,_,和,_,495
实施,_,和,_,496
规划,_,和,_,496
和,负责,和,495,496
指挥,_,和,_,497
控制,_,和,_,497
通信,_,和,_,497
计算机,_,和,_,497
和,提供,支持,497,_
指挥,_,和,_,498
控制,_,和,_,498
计算机,_,和,_,498
通信,_,和,_,498
和,进行,沟通,498,_
状态,_,和,_,499
控制,_,和,_,500
计算机,_,和,_,500
通信,_,和,_,500
指挥,_,和,_,500
和,提供,频谱支持,500,_
计算机,_,和,_,501
通信,_,和,_,501
控制,_,和,_,501
指挥,_,和,_,501
和,促进,这种协调,501,_
计算机,_,和,_,502
控制,_,和,_,502
指挥,_,和,_,502
通信,_,和,_,502
控制,_,和,_,503
指挥,_,和,_,503
计算机部,_,和,_,503
通信,_,和,_,503
和,合作,和,502,503
控制,_,和,_,504
计算机,_,和,_,504
指挥,_,和,_,504
通信,_,和,_,504
和,提供,支持,504,_
通信,_,和,_,505
计算机,_,和,_,505
指挥,_,和,_,505
控制,_,和,_,505
办公室,_,和,_,506
司令部,_,和,_,506
和,协调,和,505,506
通信,_,和,_,507
计算机,_,和,_,507
控制,_,和,_,507
指挥,_,和,_,507
和,提供,《国民警卫队互操作性现场行动指南》,507,_
州际,_,和,_,508
区域,_,和,_,508
《国民警卫队互操作性现场行动指南》,提供,指导,_,_
指挥,_,和,_,509
控制,_,和,_,509
通信,_,和,_,509
计算机,_,和,_,509
指挥,_,所,_,510
计算机部,_,所,_,510
通信,_,所,_,510
控制,_,所,_,510
和,加入,所,509,510
上级当局,规定,范围,_,_
程序,_,和,_,511
政策,_,和,_,511
联合频谱管理分队,制定,和,_,511
程序,_,和,_,512
政策,_,和,_,512
联合频谱管理分队,实施,和,_,512
联合频谱管理分队,发布,联合通信_电子操作说明,_,_
联合频谱管理分队,提供,更明确的指导,_,_
法律,_,和,_,513
程序,_,和,_,513
法规,_,和,_,513
国民警卫队联合部队州总部频谱管理人员,确保,和,_,513
其,分配,频谱资源,_,_
法律,_,和,_,514
程序,_,和,_,514
法规,_,和,_,514
其分配的频谱资源,符合,和,_,514
状态,_,或,_,515
国民警卫队联合部队州总部频谱管理人员,确保,或,_,515
状态,_,或,_,516
人员,_,和,_,517
指挥官,_,和,_,517
中心,_,或,_,518
军事,_,或,_,518
促进,_,或,_,518
环境,_,或,_,518
进行,_,或,_,518
行动,_,或,_,518
人员,_,或,_,518
和,意识,或,517,518
环境,_,和,_,519
行动,_,和,_,519
电磁作战环境,无,干扰,_,_
安全局,_,和,_,520
情报局,_,和,_,520
机构,_,和,_,520
组织,_,和,_,520
编录,_,和,_,521
识别,_,和,_,521
更新,_,和,_,521
和,寻求,和,520,521
组织,_,和,_,522
机构,_,和,_,522
情报局,_,和,_,522
安全局,_,和,_,522
安全局,_,/,_,523
安全署,_,/,_,523
/,围绕,作战,523,_
安全局,_,/,_,524
安全署,_,/,_,524
分析,_,和,_,525
交换,_,和,_,525
/,进行,和,524,525
这些数据库,提供,信号情报支持,_,_
航空,_,和,_,526
航天,_,和,_,526
中心,_,和,_,526
参数,_,和,_,527
性能,_,和,_,527
和,定义,和,526,527
中心,_,和,_,528
航天,_,和,_,528
航空,_,和,_,528
理论,_,和,_,529
战术,_,和,_,529
和,分析,和,528,529
航天,_,和,_,530
航空,_,和,_,530
中心,_,和,_,530
理论,_,和,_,531
战术,_,和,_,531
和,提供,和,530,531
国家级的收集工作,提供,关于敌方电磁基础设施的大部分情报,_,_
国防情报局国防情报收集协调中心,是,调度国家资产收集情报的协调中心,_,_
中心,调度,国家资产,_,_
国防情报局国防情报收集协调中心,响应,联合电磁频谱作战的情报需求,_,_
联合情报作战中心,做出,响应,_,_
需求,需要,国家级资产处理,_,_
联合情报作战中心,转交,需要国家级资产处理的需求,_,_
作战指挥官,确定,程序,_,_
有关战区级情报支持更多的信息,参阅,JP2_0《联合情,_,_
联合参谋部情报处,是,向联合电磁频谱作战提供情报支持的主要联络点,_,_
联络点,提供,情报支持,_,_
联合部队指挥官,决定,建立一支联合特遣部队联合情报支持分队，以扩充下属联合部队联合参谋部的情报处,_,_
收集,_,和,_,532
发布,_,和,_,532
生成,_,和,_,532
联合情报支持分队,管理,和,_,532
名,_,或,_,533
联合参谋部情报处,指派,或,_,533
名,_,或,_,534
或,到,联合电磁频谱作战分队,534,_
名,_,或,_,535
或,进行,联络,535,_
作战,_,和,_,536
收集,_,和,_,536
分隔,_,和,_,536
支持,_,和,_,536
分析,_,和,_,536
这种联络的目的,是,和,_,536
计划人员,联合,电磁频谱作战,_,_
联合电磁频谱作战的计划人员,发现,有必要与参谋部情报部门的各种人员合作,_,_
多国部队指挥官,指导,多国部队,_,_
多国部队,规划,联合电磁频谱作战,_,_
多国部队,实施,联合电磁频谱作战,_,_
电磁战协调小组,承担,联合电磁频谱作战分队的部分职责,_,_
北约/多国术语,沿用,电磁战协调小组,_,_
多国部队指挥官,分配,联合电磁频谱作战资源的管理职责,_,_
规划,_,和,_,537
整合,_,和,_,537
多国参谋的作战负责人,承担,和,_,537
联合电磁频谱作战参谋的主要职责,是,确保多国部队指挥官得到美国联合部队指挥官所期望的联合电磁频谱作战支援,_,_
支援,_,所,_,538
作战,_,所,_,538
多国部队指挥官,得到,所,_,538
美国联合部队指挥官,期望,作战支援,_,_
多国部队所有组成部队的指挥官,提供,合格的参谋人员(例如电磁战军官、电磁频谱管理人员、情报人员、战斗损伤评估电子战辅助人员),_,_
扩编参谋人员的理由,是,伙伴国的官员通常是多国联合电磁频谱作战计划分队的正式成员，并对指挥链负责,_,_
伙伴国的官员,是,多国联合电磁频谱作战计划分队的正式成员,_,_
伙伴国的官员,负责,对指挥链,_,_
直接编入电磁战协调小组,实施,统一指挥,_,_
程序,_,和,_,539
计划,_,和,_,539
计划,_,和,_,540
程序,_,和,_,540
和,得到,正确解释,540,_
职责,对等,与美国军官,_,_
材料,_,和,_,541
兼容性,_,和,_,541
装备,_,和,_,541
设备,_,和,_,541
部门,_,和,_,542
小组,_,和,_,542
部门,_,和,_,543
小组,_,和,_,543
和,保持,经常联络,543,_
适当,_,和,_,544
有效,_,和,_,544
计划中的电磁战瞄准任务,产生,影响,_,_
指挥,_,和,_,545
控制,_,和,_,545
跟踪,_,和,_,546
补救,_,和,_,546
指南,_,和,_,547
原则,_,和,_,547
支持,_,和,_,548
进行,_,和,_,548
协调,_,和,_,548
支持,_,和,_,549
协调,_,和,_,549
重,_,和,_,549
伙伴国,联合,电磁频谱作战军官,_,_
伙伴国指挥官,派驻,合格的联合电磁频谱作战人员(例如电磁战军官、电磁频谱管理人员、情报参谋),_,_
控制,_,和,_,550
结构,_,和,_,550
设施,_,和,_,550
组织,_,和,_,550
情报,_,和,_,550
能力,_,和,_,550
指挥,_,和,_,550
需求,_,和,_,550
信息,适合,他们接收,_,_
他们,接收,信息,_,_
O_4,_,或,_,551
级别,_,或,_,551
O_3,_,或,_,551
这些要求,意味着,或,_,551
O_3,_,或,_,552
O_4,_,或,_,552
有关官员,达到,或,_,552
他们,是,从国家级部门中抽调的扩编人员,_,_
他们,来自,多国部队,_,_
